eta,max_depth,subsample,colsample_bytree,lambda,alpha,n_estimators,accuracy,auc,f1_score,precision,recall
0.1,5,0.8,0.8,5,1,300,0.8677621283255086,0.6396832555178269,0.22119815668202766,0.15483870967741936,0.3870967741935484
0.05,5,0.5,0.8,5,1,300,0.8153364632237872,0.7269338921901528,0.2484076433121019,0.15476190476190477,0.6290322580645161
0.1,7,0.6,0.6,1,0,300,0.892018779342723,0.598856642614601,0.19767441860465115,0.15454545454545454,0.27419354838709675
0.3,7,0.5,0.8,1,0,100,0.8849765258215962,0.610462648556876,0.20540540540540542,0.15447154471544716,0.3064516129032258
0.3,5,0.8,0.8,1,0,100,0.8849765258215962,0.610462648556876,0.20540540540540542,0.15447154471544716,0.3064516129032258
0.1,7,0.5,0.6,1,0,300,0.8849765258215962,0.610462648556876,0.20540540540540542,0.15447154471544716,0.3064516129032258
0.3,7,0.6,0.6,1,1,300,0.8849765258215962,0.610462648556876,0.20540540540540542,0.15447154471544716,0.3064516129032258
0.3,5,0.5,0.6,1,0,300,0.8849765258215962,0.610462648556876,0.20540540540540542,0.15447154471544716,0.3064516129032258
0.05,7,0.8,0.8,1,0,300,0.8779342723004695,0.622068654499151,0.21212121212121213,0.15441176470588236,0.3387096774193548
0.1,5,0.6,0.8,5,1,100,0.7902973395931142,0.7673493208828522,0.25555555555555554,0.15436241610738255,0.7419354838709677
0.05,7,0.6,0.6,5,0,300,0.8427230046948356,0.6800986842105263,0.23574144486692014,0.15422885572139303,0.5
0.1,7,0.6,0.8,5,0,100,0.8356807511737089,0.6917046901528013,0.2391304347826087,0.1542056074766355,0.532258064516129
0.03,5,0.5,0.8,1,1,300,0.8004694835680751,0.7497347198641767,0.25219941348973607,0.15412186379928317,0.6935483870967742
0.3,5,0.8,0.6,1,1,100,0.8740219092331768,0.6276660653650256,0.2146341463414634,0.15384615384615385,0.3548387096774194
0.3,5,0.6,0.5,1,0,100,0.86697965571205,0.6392720713073006,0.22018348623853212,0.15384615384615385,0.3870967741935484
0.05,7,0.8,0.6,1,1,100,0.7965571205007824,0.7553321307300509,0.25287356321839083,0.15384615384615385,0.7096774193548387
0.3,7,0.8,0.8,5,0,300,0.8810641627543035,0.6160600594227503,0.20833333333333334,0.15384615384615385,0.3225806451612903
0.1,5,0.6,0.6,1,0,300,0.8740219092331768,0.6276660653650256,0.2146341463414634,0.15384615384615385,0.3548387096774194
0.3,7,0.8,0.5,1,0,300,0.8881064162754304,0.6044540534804753,0.2011173184357542,0.15384615384615385,0.2903225806451613
0.05,5,0.5,0.6,1,1,300,0.8247261345852895,0.7089081069609509,0.24324324324324326,0.15384615384615385,0.5806451612903226
0.05,7,0.6,0.8,1,0,100,0.810641627543036,0.7321201188455008,0.2484472049689441,0.15384615384615385,0.6451612903225806
0.1,7,0.8,0.8,5,1,100,0.8348982785602503,0.6912935059422749,0.23826714801444043,0.15348837209302327,0.532258064516129
0.1,7,0.5,0.5,1,1,300,0.877151799687011,0.6216574702886247,0.21105527638190955,0.15328467153284672,0.3387096774193548
0.3,7,0.8,0.6,1,1,300,0.8912363067292645,0.5984454584040747,0.19653179190751446,0.15315315315315314,0.27419354838709675
0.3,5,0.8,0.6,1,1,300,0.8912363067292645,0.5984454584040747,0.19653179190751446,0.15315315315315314,0.27419354838709675
